path,size,mtime,lastcommit,refs
.github/workflows/ci.yml,473,2026-08-08 21:46:17,2026-08-09,
.gitignore,120,2026-08-08 21:12:07,2026-08-08,
.vscode/settings.json,3,2026-08-08 21:12:07,2026-08-08,
CLAUDE.md,557,2026-08-08 21:12:07,2026-08-08,
Makefile,2475,2026-08-08 21:46:20,2026-08-09,
README.md,454,2026-08-08 21:12:07,2026-08-08,
backend/babel.config.js,536,2026-08-08 23:32:39,2026-08-09,0
backend/package-lock.json,325667,2026-08-08 23:33:56,2026-08-09,
backend/package.json,761,2026-08-08 23:45:48,2026-08-09,
backend/src/app.ts,59314,2026-08-08 23:30:09,2026-08-09,73
backend/tests/integration/api.test.ts,9484,2026-08-08 23:30:07,2026-08-09,0
backend/tests/unit/smoke.test.ts,119,2026-08-08 21:12:07,2026-08-08,0
backend/tsconfig.build.json,419,2026-08-08 23:46:01,2026-08-09,
backend/tsconfig.json,1501,2026-08-08 23:22:06,2026-08-09,
desktop/.gitignore,132,2026-08-09 00:06:50,2026-08-09,
desktop/.vscode/extensions.json,120,2026-08-09 00:06:50,2026-08-09,
desktop/.vscode/settings.json,38,2026-08-09 00:06:50,2026-08-09,
desktop/README.md,470,2026-08-09 00:06:50,2026-08-09,
desktop/package-lock.json,63116,2026-08-09 00:07:31,2026-08-09,
desktop/package.json,764,2026-08-09 00:06:50,2026-08-09,
desktop/src-tauri/.gitignore,166,2026-08-09 00:06:50,2026-08-09,
desktop/src-tauri/Cargo.lock,121493,2026-08-09 12:57:28,2026-08-09,
desktop/src-tauri/Cargo.toml,1020,2026-08-09 13:10:47,2026-08-09,
desktop/src-tauri/build.rs,39,2026-08-09 00:06:50,2026-08-09,16
desktop/src-tauri/capabilities/default.json,220,2026-08-09 00:06:50,2026-08-09,
desktop/src-tauri/icons/128x128.png,26146,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/128x128@2x.png,81948,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/32x32.png,2744,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/64x64.png,8370,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/Square107x107Logo.png,19292,2026-08-09 19:09:48,2026-08-09,
desktop/src-tauri/icons/Square142x142Logo.png,30950,2026-08-09 19:09:48,2026-08-09,
desktop/src-tauri/icons/Square150x150Logo.png,33666,2026-08-09 19:09:48,2026-08-09,
desktop/src-tauri/icons/Square284x284Logo.png,97462,2026-08-09 19:09:49,2026-08-09,
desktop/src-tauri/icons/Square30x30Logo.png,2501,2026-08-09 19:09:48,2026-08-09,
desktop/src-tauri/icons/Square310x310Logo.png,112974,2026-08-09 19:09:49,2026-08-09,
desktop/src-tauri/icons/Square44x44Logo.png,4533,2026-08-09 19:09:48,2026-08-09,
desktop/src-tauri/icons/Square71x71Logo.png,9928,2026-08-09 19:09:48,2026-08-09,
desktop/src-tauri/icons/Square89x89Logo.png,14307,2026-08-09 19:09:48,2026-08-09,
desktop/src-tauri/icons/StoreLogo.png,5633,2026-08-09 19:09:48,2026-08-09,
desktop/src-tauri/icons/android/mipmap-anydpi-v26/ic_launcher.xml,261,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-hdpi/ic_launcher.png,4561,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-hdpi/ic_launcher_foreground.png,38468,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-hdpi/ic_launcher_round.png,4797,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-mdpi/ic_launcher.png,4375,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-mdpi/ic_launcher_foreground.png,19748,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-mdpi/ic_launcher_round.png,4576,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-xhdpi/ic_launcher.png,13737,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-xhdpi/ic_launcher_foreground.png,61645,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-xhdpi/ic_launcher_round.png,14500,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-xxhdpi/ic_launcher.png,26834,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-xxhdpi/ic_launcher_foreground.png,121762,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-xxhdpi/ic_launcher_round.png,28377,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-xxxhdpi/ic_launcher.png,42830,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-xxxhdpi/ic_launcher_foreground.png,198028,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/mipmap-xxxhdpi/ic_launcher_round.png,45142,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/android/values/ic_launcher_background.xml,115,2026-08-09 19:09:51,2026-08-09,
desktop/src-tauri/icons/icon.icns,1559160,2026-08-09 19:09:49,2026-08-09,
desktop/src-tauri/icons/icon.ico,104717,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/icon.png,264975,2026-08-09 19:09:50,2026-08-09,
desktop/src-tauri/icons/ios/AppIcon-20x20@1x.png,1096,2026-08-09 19:09:50,2026-08-09,
